Jeu,Algo,Structure,TouteUnif,Iteration,Temps_Pretraitement,Temps_Total,RAM_Pic_Mo,CPU_Percent,Nb_Unifications
jeu1,mm,liste,True,1,1.6600824892520905e-07,0.37838166602887213,0.8724794387817383,99.9,3210
jeu1,mm,liste,True,2,3.750319592654705e-07,0.37451858300482854,0.8724794387817383,100.0,3210
jeu1,mm,liste,True,3,1.66997779160738e-07,0.37061525002354756,0.8724794387817383,99.9,3210
jeu1,mm,liste,True,4,2.92027834802866e-07,0.3838602079777047,0.8724794387817383,99.9,3210
jeu1,mm,liste,True,5,1.6600824892520905e-07,0.3719010420027189,0.8724794387817383,99.9,3210
jeu1,mm,liste,True,6,2.92027834802866e-07,0.3760407500085421,0.8724794387817383,99.9,3210
jeu1,mm,liste,True,7,2.08965502679348e-07,0.3665986249689013,0.8724794387817383,99.9,3210
jeu1,mm,liste,True,8,2.0797597244381905e-07,0.38594383298186585,0.8724794387817383,99.9,3210
jeu1,mm,liste,True,9,1.6600824892520905e-07,0.36899487499613315,0.8724794387817383,99.9,3210
jeu1,mm,liste,True,10,2.0797597244381905e-07,0.3818818749859929,0.8724794387817383,99.9,3210
jeu1,mm,liste,False,1,2.0902371034026146e-07,0.05041462503140792,0.00470733642578125,99.6,7
jeu1,mm,liste,False,2,2.92027834802866e-07,0.04998441704083234,0.00470733642578125,99.7,7
jeu1,mm,liste,False,3,2.500019036233425e-07,0.050054916995577514,0.00470733642578125,99.7,7
jeu1,mm,liste,False,4,1.6600824892520905e-07,0.05006370798218995,0.00470733642578125,99.8,7
jeu1,mm,liste,False,5,8.300412446260452e-08,0.05302433401811868,0.00470733642578125,99.7,7
jeu1,mm,liste,False,6,2.0803418010473251e-07,0.05191325000487268,0.00470733642578125,99.7,7
jeu1,mm,liste,False,7,2.9098009690642357e-07,0.05117091699503362,0.00470733642578125,99.7,7
jeu1,mm,liste,False,8,1.6600824892520905e-07,0.05018845800077543,0.00470733642578125,99.7,7
jeu1,mm,liste,False,9,2.0803418010473251e-07,0.04992920899530873,0.00470733642578125,99.7,7
jeu1,mm,liste,False,10,1.66997779160738e-07,0.05217495799297467,0.00470733642578125,99.7,7
jeu1,mm,dictionnaire,True,1,0.0005067499587312341,0.36816533299861476,0.9546480178833008,99.9,3210
jeu1,mm,dictionnaire,True,2,0.0004544169642031193,0.3727118750102818,0.9546480178833008,100.0,3210
jeu1,mm,dictionnaire,True,3,0.0005169170326553285,0.37972220801748335,0.9546480178833008,99.9,3210
jeu1,mm,dictionnaire,True,4,0.0005650839884765446,0.37050245801219717,0.9546480178833008,99.9,3210
jeu1,mm,dictionnaire,True,5,0.00045674998546019197,0.3706543750013225,0.9546480178833008,99.9,3210
jeu1,mm,dictionnaire,True,6,0.00045841600513085723,0.36831516603706405,0.9546480178833008,99.9,3210
jeu1,mm,dictionnaire,True,7,0.0004577080253511667,0.3747688750154339,0.9546480178833008,99.9,3210
jeu1,mm,dictionnaire,True,8,0.000521250010933727,0.3672481669927947,0.9546480178833008,99.9,3210
jeu1,mm,dictionnaire,True,9,0.000458249996881932,0.3691128749633208,0.9546480178833008,99.9,3210
jeu1,mm,dictionnaire,True,10,0.0005619999719783664,0.3731772920000367,0.9546480178833008,99.9,3210
jeu1,mm,dictionnaire,False,1,0.0005674160202033818,0.050794165988918394,0.08687591552734375,99.7,7
jeu1,mm,dictionnaire,False,2,0.00044895795872434974,0.049760084017179906,0.08687591552734375,99.6,7
jeu1,mm,dictionnaire,False,3,0.0005155830294825137,0.05119462503353134,0.08687591552734375,99.7,7
jeu1,mm,dictionnaire,False,4,0.0004581669927574694,0.05272008304018527,0.08687591552734375,99.6,7
jeu1,mm,dictionnaire,False,5,0.0005137500120326877,0.05189649999374524,0.08687591552734375,99.7,7
jeu1,mm,dictionnaire,False,6,0.0004923330270685256,0.05034799996064976,0.08687591552734375,99.7,7
jeu1,mm,dictionnaire,False,7,0.00046491698594763875,0.05033708404516801,0.08687591552734375,99.7,7
jeu1,mm,dictionnaire,False,8,0.0004979580407962203,0.05109558399999514,0.08687591552734375,99.7,7
jeu1,mm,dictionnaire,False,9,0.00045820901868864894,0.049973915971349925,0.08687591552734375,99.6,7
jeu1,mm,dictionnaire,False,10,0.0004474580055102706,0.0506224159616977,0.08687591552734375,99.6,7
jeu1,mm,ensemble,True,1,0.028140457987319678,0.40705429104855284,1.372232437133789,99.9,3210
jeu1,mm,ensemble,True,2,0.02937249996466562,0.40769487497163936,1.3743896484375,100.0,3210
jeu1,mm,ensemble,True,3,0.027751082961913198,0.40414816699922085,1.3731536865234375,99.9,3210
jeu1,mm,ensemble,True,4,0.027775415976066142,0.40346624999074265,1.3727893829345703,100.0,3210
jeu1,mm,ensemble,True,5,0.028646833961829543,0.4095664999913424,1.372319221496582,99.9,3210
jeu1,mm,ensemble,True,6,0.02778391703031957,0.4084442909806967,1.3721790313720703,99.9,3210
jeu1,mm,ensemble,True,7,0.027635250007733703,0.3971862079924904,1.3723373413085938,100.0,3210
jeu1,mm,ensemble,True,8,0.027651334006804973,0.4024391670245677,1.3722248077392578,100.0,3210
jeu1,mm,ensemble,True,9,0.02757787494920194,0.42173624999122694,1.3738279342651367,100.0,3210
jeu1,mm,ensemble,True,10,0.027887916017789394,0.40453116595745087,1.3732452392578125,100.0,3210
jeu1,mm,ensemble,False,1,0.028153707971796393,0.07885400002123788,0.6254119873046875,99.8,7
jeu1,mm,ensemble,False,2,0.02913224999792874,0.08143158303573728,0.6254119873046875,99.8,7
jeu1,mm,ensemble,False,3,0.029426249966491014,0.08069345896365121,0.6254119873046875,99.7,7
jeu1,mm,ensemble,False,4,0.02843779098475352,0.08050454198382795,0.6254119873046875,99.8,7
jeu1,mm,ensemble,False,5,0.028679791023023427,0.077587665989995,0.6254119873046875,99.8,7
jeu1,mm,ensemble,False,6,0.027219792013056576,0.07658320904010907,0.6254119873046875,99.8,7
jeu1,mm,ensemble,False,7,0.028321957972366363,0.07837025000480935,0.6254119873046875,99.8,7
jeu1,mm,ensemble,False,8,0.02780995797365904,0.07696712500182912,0.6254119873046875,99.8,7
jeu1,mm,ensemble,False,9,0.029365374997723848,0.081758041982539,0.6254119873046875,99.7,7
jeu1,mm,ensemble,False,10,0.02884383301716298,0.08120858302572742,0.6254119873046875,99.8,7
jeu2,mm,liste,True,1,2.0803418010473251e-07,1.7469387079472654,7.3731689453125,99.8,24876
jeu2,mm,liste,True,2,1.66997779160738e-07,1.7006898340187036,7.3731689453125,100.0,24876
