Jeu,Algo,Structure,TouteUnif,Temps_Pretraitement_Moyen,Temps_Unification_Moyen,Temps_Total_Moyen,RAM_Pic_Moyen,CPU_Moyen,Nb_Unifications
jeu1,mm,liste,True,0.0,0.375873,0.375874,0.87,99.9,3210
jeu1,mm,liste,False,0.0,0.050892,0.050892,0.0,99.7,7
jeu1,mm,dictionnaire,True,0.000496,0.370942,0.371438,0.95,99.9,3210
jeu1,mm,dictionnaire,False,0.000486,0.050388,0.050874,0.09,99.7,7
jeu1,mm,ensemble,True,0.028022,0.378604,0.406627,1.37,100.0,3210
jeu1,mm,ensemble,False,0.028539,0.050857,0.079396,0.63,99.8,7
jeu2,mm,liste,True,0.0,1.718559,1.718559,7.37,100.0,24876
jeu2,mm,liste,False,0.0,0.013665,0.013666,0.0,99.5,9
jeu2,mm,dictionnaire,True,0.004262,1.710733,1.714995,8.15,100.0,24876
jeu2,mm,dictionnaire,False,0.00422,0.013785,0.018005,0.78,99.6,9
jeu2,mm,ensemble,True,0.170272,1.281998,1.45227,9.37,100.0,24876
jeu2,mm,ensemble,False,0.171555,0.015181,0.186736,2.5,99.9,9
jeu3,mm,liste,True,0.0,45.503519,45.503519,90.06,100.0,146118
jeu3,mm,liste,False,0.0,3.065452,3.065452,0.01,99.3,8
jeu3,mm,dictionnaire,True,0.046445,49.724832,49.771277,98.32,100.0,146118
jeu3,mm,dictionnaire,False,0.050849,3.356285,3.407134,8.27,99.5,8
jeu3,mm,ensemble,True,3.365885,43.409085,46.774971,122.06,99.9,146118
jeu3,mm,ensemble,False,3.324178,2.921627,6.245804,48.0,100.0,8
jeu4,mm,liste,True,0.0,0.990348,0.990349,0.4,100.0,1166
jeu4,mm,liste,False,0.0,0.563746,0.563746,0.03,100.0,5
jeu4,mm,dictionnaire,True,0.000503,0.981029,0.981532,0.49,100.0,1166
jeu4,mm,dictionnaire,False,0.00053,0.56252,0.563051,0.12,100.0,5
jeu4,mm,ensemble,True,0.084914,0.973553,1.058467,0.9,100.0,1166
jeu4,mm,ensemble,False,0.084428,0.5606,0.645028,0.63,100.0,5
jeu5,mm,liste,True,0.0,8.19339,8.193391,6.24,100.0,13595
jeu5,mm,liste,False,0.0,0.618564,0.618564,0.02,100.0,7
jeu5,mm,dictionnaire,True,0.004151,8.089042,8.093193,7.02,100.0,13595
jeu5,mm,dictionnaire,False,0.004235,0.617849,0.622085,0.8,100.0,7
jeu5,mm,ensemble,True,0.761649,8.178253,8.939901,10.23,99.9,13595
jeu5,mm,ensemble,False,0.750612,0.654788,1.4054,6.0,100.0,7
jeu6,mm,liste,True,0.0,25.644487,25.644487,30.37,99.9,85718
jeu6,mm,liste,False,0.0,0.015608,0.015608,0.01,99.6,9
jeu6,mm,dictionnaire,True,0.041374,25.555733,25.597108,38.63,100.0,85718
jeu6,mm,dictionnaire,False,0.0394,0.020166,0.059566,8.27,99.8,9
jeu6,mm,ensemble,True,3.450022,21.414152,24.864174,46.37,99.9,85718
jeu6,mm,ensemble,False,3.470906,0.100103,3.571009,24.0,100.0,9
jeu7,mm,liste,True,0.0,0.839676,0.839676,0.82,100.0,1785
jeu7,mm,liste,False,0.0,0.136773,0.136773,0.02,99.9,8
jeu7,mm,dictionnaire,True,0.000483,0.837926,0.838409,0.9,100.0,1785
jeu7,mm,dictionnaire,False,0.000467,0.136093,0.13656,0.1,99.9,8
jeu7,mm,ensemble,True,0.079089,0.842584,0.921673,1.31,100.0,1785
jeu7,mm,ensemble,False,0.078948,0.093101,0.172049,0.63,99.9,8
jeu8,mm,liste,True,0.0,10.605666,10.605666,3.47,100.0,8264
jeu8,mm,liste,False,0.0,0.244118,0.244118,0.04,99.9,9
jeu8,mm,dictionnaire,True,0.003922,10.576051,10.579972,4.25,100.0,8264
jeu8,mm,dictionnaire,False,0.004136,0.244986,0.249123,0.82,99.9,9
jeu8,mm,ensemble,True,0.849284,10.370671,11.219954,7.47,100.0,8264
jeu8,mm,ensemble,False,0.856521,0.584333,1.440854,6.0,100.0,9
jeu9,mm,liste,True,0.0,76.660477,76.660477,85.79,100.0,223822
jeu9,mm,liste,False,0.0,3.384049,3.38405,0.03,100.0,9
jeu9,mm,dictionnaire,True,0.041912,76.691783,76.733695,94.05,100.0,223822
jeu9,mm,dictionnaire,False,0.042605,3.287914,3.33052,8.29,100.0,9
jeu9,mm,ensemble,True,8.114626,76.637339,84.751965,117.8,100.0,223822
jeu9,mm,ensemble,False,8.13646,1.571058,9.707518,48.0,100.0,9
jeu10,mm,liste,True,0.0,1.44771,1.44771,0.69,100.0,1718
jeu10,mm,liste,False,0.0,0.185058,0.185059,0.06,100.0,8
jeu10,mm,dictionnaire,True,0.000519,1.446565,1.447084,0.77,100.0,1718
jeu10,mm,dictionnaire,False,0.000508,0.186487,0.186995,0.14,100.0,8
jeu10,mm,ensemble,True,0.100682,1.46698,1.567661,1.18,100.0,1718
jeu10,mm,ensemble,False,0.10172,0.174669,0.276389,0.63,100.0,8
jeu11,mm,liste,True,0.0,11.601628,11.601628,6.02,100.0,17930
jeu11,mm,liste,False,0.0,0.816311,0.816311,0.07,100.0,8
jeu11,mm,dictionnaire,True,0.004265,11.62807,11.632335,6.8,100.0,17930
jeu11,mm,dictionnaire,False,0.004259,0.812758,0.817016,0.85,100.0,8
jeu11,mm,ensemble,True,0.830668,11.299499,12.130167,10.03,100.0,17930
jeu11,mm,ensemble,False,0.843773,0.830073,1.673846,6.0,100.0,8
jeu12,mm,liste,True,0.0,82.295831,82.295831,74.19,100.0,167502
jeu12,mm,liste,False,0.0,1.580446,1.580447,0.05,100.0,9
jeu12,mm,dictionnaire,True,0.043165,82.261017,82.304182,82.45,100.0,167502
jeu12,mm,dictionnaire,False,0.043224,1.602698,1.645922,8.31,100.0,9
jeu12,mm,ensemble,True,7.649993,80.571037,88.221031,106.19,100.0,167502
jeu12,mm,ensemble,False,7.640986,2.003822,9.644808,48.0,100.0,9
jeu13,mm,liste,True,0.0,0.646996,0.646996,0.49,100.0,2090
jeu13,mm,liste,False,0.0,0.224459,0.224459,0.01,100.0,12
jeu13,mm,dictionnaire,True,0.000554,0.647046,0.6476,0.57,100.0,2090
jeu13,mm,dictionnaire,False,0.000535,0.227457,0.227992,0.09,100.0,12
jeu13,mm,ensemble,True,0.034006,0.656254,0.690259,0.99,100.0,2090
jeu13,mm,ensemble,False,0.033328,0.283742,0.31707,0.63,100.0,12
jeu14,mm,liste,True,0.0,8.598822,8.598822,2.97,100.0,9291
jeu14,mm,liste,False,0.0,2.928353,2.928353,0.01,99.9,12
jeu14,mm,dictionnaire,True,0.004514,8.657199,8.661714,3.78,100.0,9291
jeu14,mm,dictionnaire,False,0.004648,2.931921,2.936569,0.82,100.0,12
jeu14,mm,ensemble,True,0.387738,8.721839,9.109577,6.97,100.0,9291
jeu14,mm,ensemble,False,0.391257,2.207325,2.598582,6.0,100.0,12
jeu15,mm,liste,True,0.0,47.12033,47.120331,44.8,100.0,120195
jeu15,mm,liste,False,0.0,2.110828,2.110828,0.01,100.0,17
jeu15,mm,dictionnaire,True,0.043612,47.03705,47.080662,52.95,100.0,120195
jeu15,mm,dictionnaire,False,0.043579,2.151409,2.194987,8.15,100.0,17
jeu15,mm,ensemble,True,2.83816,45.089298,47.927458,76.8,100.0,120195
jeu15,mm,ensemble,False,2.874595,2.381153,5.255748,48.0,100.0,17
jeu16,mm,liste,True,0.0,1.038398,1.038398,0.41,100.0,1617
jeu16,mm,liste,False,0.0,0.429397,0.429397,0.03,100.0,11
jeu16,mm,dictionnaire,True,0.000586,1.069588,1.070174,0.49,99.6,1617
jeu16,mm,dictionnaire,False,0.000537,0.422458,0.422995,0.11,99.9,11
jeu16,mm,ensemble,True,0.07773,1.025866,1.103597,0.91,100.0,1617
jeu16,mm,ensemble,False,0.077537,0.388689,0.466226,0.63,100.0,11
jeu17,mm,liste,True,0.0,7.202796,7.202796,4.48,100.0,17760
jeu17,mm,liste,False,0.0,0.510906,0.510906,0.02,100.0,17
jeu17,mm,dictionnaire,True,0.004598,7.089417,7.094015,5.26,100.0,17760
jeu17,mm,dictionnaire,False,0.004598,0.508518,0.513116,0.81,100.0,17
jeu17,mm,ensemble,True,0.595556,6.98702,7.582577,8.48,100.0,17760
jeu17,mm,ensemble,False,0.587101,0.63239,1.219491,6.0,100.0,17
jeu18,mm,liste,True,0.0,74.154328,74.154328,28.52,100.0,153582
jeu18,mm,liste,False,0.0,6.012711,6.012711,0.03,100.0,16
jeu18,mm,dictionnaire,True,0.04363,74.859581,74.903211,36.67,100.0,153582
jeu18,mm,dictionnaire,False,0.042484,6.001498,6.043982,8.18,100.0,16
jeu18,mm,ensemble,True,5.698852,72.856283,78.555135,60.52,100.0,153582
jeu18,mm,ensemble,False,5.65559,5.984498,11.640087,48.0,100.0,16
jeu19,mm,liste,True,0.0,1.081916,1.081916,0.46,100.0,1317
jeu19,mm,liste,False,0.0,0.238165,0.238166,0.03,100.0,10
