Jeu,Algo,Structure,TouteUnif,Temps_Pretraitement_Moyen(s),Temps_Unification_Moyen(s),Temps_Total_Moyen(s),RAM_Pic_Moyen(Mo),CPU_Moyen(%)
jeu1,robinson,liste,True,0.000206,0.438185,0.438391,1.87,99.9
jeu1,robinson,liste,False,0.000206,0.050398,0.050604,0.17,99.7
jeu1,robinson,dictionnaire,True,0.000717,0.434812,0.435528,1.86,99.9
jeu1,robinson,dictionnaire,False,0.000725,0.049864,0.050589,0.17,99.7
jeu1,robinson,ensemble,True,0.028465,0.24987,0.278335,2.19,99.9
jeu1,robinson,ensemble,False,0.028632,0.054687,0.083319,0.63,99.7
jeu2,robinson,liste,True,0.002135,3.093994,3.096129,13.41,100.0
jeu2,robinson,liste,False,0.002248,0.011457,0.013704,1.55,99.5
jeu2,robinson,dictionnaire,True,0.007466,3.064061,3.071526,13.45,100.0
jeu2,robinson,dictionnaire,False,0.007207,0.016212,0.023419,1.59,99.4
jeu2,robinson,ensemble,True,0.1766,1.303842,1.480442,13.85,100.0
jeu2,robinson,ensemble,False,0.174702,0.188202,0.362904,2.5,99.9
jeu3,robinson,liste,True,0.024244,43.685916,43.71016,169.42,99.9
jeu3,robinson,liste,False,0.023862,2.681269,2.705132,16.35,100.0
jeu3,robinson,dictionnaire,True,0.077106,43.50258,43.579686,169.83,99.8
jeu3,robinson,dictionnaire,False,0.084218,2.634448,2.718665,16.76,100.0
jeu3,robinson,ensemble,True,3.403741,21.89609,25.299831,185.07,99.9
jeu3,robinson,ensemble,False,3.402302,4.727016,8.129318,48.0,100.0
jeu4,robinson,liste,True,0.000215,0.637648,0.637862,1.2,100.0
jeu4,robinson,liste,False,0.000217,0.282613,0.282829,0.21,99.9
jeu4,robinson,dictionnaire,True,0.000793,0.632726,0.633519,1.2,99.9
jeu4,robinson,dictionnaire,False,0.000774,0.280404,0.281178,0.21,99.9
jeu4,robinson,ensemble,True,0.086305,0.397252,0.483557,1.53,99.9
jeu4,robinson,ensemble,False,0.08607,0.23792,0.32399,0.63,99.7
jeu5,robinson,liste,True,0.002404,7.466495,7.468899,15.69,99.9
jeu5,robinson,liste,False,0.002162,0.71997,0.722132,1.58,100.0
jeu5,robinson,dictionnaire,True,0.007201,6.602638,6.609839,15.73,100.0
jeu5,robinson,dictionnaire,False,0.007209,0.713496,0.720705,1.62,100.0
jeu5,robinson,ensemble,True,0.760654,4.097375,4.858028,18.13,100.0
jeu5,robinson,ensemble,False,0.768807,1.14357,1.912376,6.0,100.0
jeu6,robinson,liste,True,0.026439,43.376617,43.403057,91.85,100.0
jeu6,robinson,liste,False,0.023295,0.041842,0.065137,16.35,99.6
jeu6,robinson,dictionnaire,True,0.072314,39.457035,39.529349,92.27,100.0
jeu6,robinson,dictionnaire,False,0.071366,0.088273,0.159639,16.76,99.8
jeu6,robinson,ensemble,True,3.52962,19.368742,22.898361,91.49,100.0
jeu6,robinson,ensemble,False,3.513962,3.598929,7.112891,24.0,100.0
jeu7,robinson,liste,True,0.000243,0.812295,0.812538,1.53,99.9
jeu7,robinson,liste,False,0.000209,0.088154,0.088363,0.2,99.8
jeu7,robinson,dictionnaire,True,0.00073,0.793424,0.794154,1.53,100.0
jeu7,robinson,dictionnaire,False,0.000748,0.087864,0.088612,0.2,99.8
jeu7,robinson,ensemble,True,0.080909,0.494303,0.575212,1.83,99.9
jeu7,robinson,ensemble,False,0.080694,0.123634,0.204328,0.63,99.8
jeu8,robinson,liste,True,0.002116,7.966454,7.96857,10.18,100.0
jeu8,robinson,liste,False,0.002099,0.091827,0.093925,1.59,99.8
jeu8,robinson,dictionnaire,True,0.007023,7.919612,7.926635,10.22,100.0
