Jeu,Algo,Structure,TouteUnif,Iteration,Temps_Pretraitement,Temps_Total,RAM_Pic_Mo,CPU_Percent,Nb_Unifications
jeu1,robinson,liste,True,1,0.00021116703283041716,0.43655425001634285,1.8653326034545898,100.0,3210
jeu1,robinson,liste,True,2,0.0001930830185301602,0.4379118750221096,1.8653326034545898,99.9,3210
jeu1,robinson,liste,True,3,0.00020412495359778404,0.4385657499660738,1.8653326034545898,99.9,3210
jeu1,robinson,liste,True,4,0.00019941700156778097,0.4374210420064628,1.8653326034545898,99.9,3210
jeu1,robinson,liste,True,5,0.00020866695558652282,0.44645104196388274,1.8653326034545898,99.8,3210
jeu1,robinson,liste,True,6,0.0002110829809680581,0.43903408298501745,1.8653326034545898,99.8,3210
jeu1,robinson,liste,True,7,0.00020650000078603625,0.43598787498194724,1.8653326034545898,99.9,3210
jeu1,robinson,liste,True,8,0.0002144169993698597,0.43803879199549556,1.8653326034545898,99.9,3210
jeu1,robinson,liste,True,9,0.0002093329676426947,0.4370039170025848,1.8653326034545898,99.9,3210
jeu1,robinson,liste,True,10,0.00020258402219042182,0.43694354203762487,1.8653326034545898,99.9,3210
jeu1,robinson,liste,False,1,0.0002014170167967677,0.05061416595708579,0.17243099212646484,99.7,7
jeu1,robinson,liste,False,2,0.00019066600361838937,0.05027866701129824,0.17243099212646484,99.8,7
jeu1,robinson,liste,False,3,0.00020479201339185238,0.05111787503119558,0.17243099212646484,99.6,7
jeu1,robinson,liste,False,4,0.0002187499776482582,0.0506922080530785,0.17243099212646484,99.7,7
jeu1,robinson,liste,False,5,0.00020241597667336464,0.05036229197867215,0.17243099212646484,99.8,7
jeu1,robinson,liste,False,6,0.00021312496392056346,0.05082666699308902,0.17243099212646484,99.7,7
jeu1,robinson,liste,False,7,0.00021004199516028166,0.05052637500921264,0.17243099212646484,99.8,7
jeu1,robinson,liste,False,8,0.00019654101924970746,0.05050816701259464,0.17243099212646484,99.7,7
jeu1,robinson,liste,False,9,0.00020983396098017693,0.050379332969896495,0.17243099212646484,99.7,7
jeu1,robinson,liste,False,10,0.00021458399714902043,0.05073533300310373,0.17243099212646484,99.7,7
jeu1,robinson,dictionnaire,True,1,0.0007409999961964786,0.43346829200163484,1.8620758056640625,99.9,3210
jeu1,robinson,dictionnaire,True,2,0.0006975000142119825,0.4358659170102328,1.8620758056640625,100.0,3210
jeu1,robinson,dictionnaire,True,3,0.0008016250212676823,0.4303547909948975,1.8620758056640625,99.9,3210
jeu1,robinson,dictionnaire,True,4,0.0006687499699182808,0.4330018329783343,1.8620758056640625,99.9,3210
jeu1,robinson,dictionnaire,True,5,0.0007447920506820083,0.436556417029351,1.8620758056640625,100.0,3210
jeu1,robinson,dictionnaire,True,6,0.000680541037581861,0.4338872919906862,1.8620758056640625,99.9,3210
jeu1,robinson,dictionnaire,True,7,0.000712334003765136,0.4367245419998653,1.8620758056640625,99.9,3210
jeu1,robinson,dictionnaire,True,8,0.0007672079955227673,0.4390635419986211,1.8620758056640625,99.9,3210
jeu1,robinson,dictionnaire,True,9,0.0006902079912833869,0.4349134999793023,1.8620758056640625,100.0,3210
jeu1,robinson,dictionnaire,True,10,0.0006642079679295421,0.4414487920003012,1.8620758056640625,99.9,3210
jeu1,robinson,dictionnaire,False,1,0.0006848329794593155,0.05046816699905321,0.16899871826171875,99.7,7
jeu1,robinson,dictionnaire,False,2,0.0007124999538064003,0.05090345797361806,0.16899871826171875,99.6,7
jeu1,robinson,dictionnaire,False,3,0.0007434170111082494,0.05109291698317975,0.16899871826171875,99.4,7
jeu1,robinson,dictionnaire,False,4,0.0008107500034384429,0.05015341698890552,0.16899871826171875,99.7,7
jeu1,robinson,dictionnaire,False,5,0.0007737919804640114,0.050753333955071867,0.16899871826171875,99.8,7
jeu1,robinson,dictionnaire,False,6,0.0006876250263303518,0.04994095797883347,0.16899871826171875,99.7,7
jeu1,robinson,dictionnaire,False,7,0.0007218339596875012,0.05170862504746765,0.16899871826171875,99.7,7
jeu1,robinson,dictionnaire,False,8,0.0006769580068066716,0.05054787499830127,0.16899871826171875,99.6,7
jeu1,robinson,dictionnaire,False,9,0.0007099169888533652,0.05022662499686703,0.16899871826171875,99.6,7
jeu1,robinson,dictionnaire,False,10,0.0007296249968931079,0.05009145801886916,0.16899871826171875,99.8,7
jeu1,robinson,ensemble,True,1,0.02809625002555549,0.2749640829861164,2.192915916442871,99.9,3210
jeu1,robinson,ensemble,True,2,0.028192207973916084,0.2835765000199899,2.192915916442871,99.8,3210
jeu1,robinson,ensemble,True,3,0.02825670799938962,0.2759384579840116,2.1924428939819336,99.8,3210
jeu1,robinson,ensemble,True,4,0.02833466697484255,0.2772151249810122,2.193922996520996,99.8,3210
jeu1,robinson,ensemble,True,5,0.028640750038903207,0.278652457986027,2.1925268173217773,99.9,3210
jeu1,robinson,ensemble,True,6,0.028752457990776747,0.27635983302025124,2.191969871520996,99.9,3210
jeu1,robinson,ensemble,True,7,0.02832250000210479,0.2777312499820255,2.195418357849121,99.9,3210
jeu1,robinson,ensemble,True,8,0.029414832999464124,0.2877701669931412,2.1924428939819336,99.9,3210
jeu1,robinson,ensemble,True,9,0.02868716698139906,0.27569633396342397,2.1924428939819336,99.9,3210
jeu1,robinson,ensemble,True,10,0.027957167010754347,0.275445666979067,2.1939611434936523,99.8,3210
jeu1,robinson,ensemble,False,1,0.028775790997315198,0.08428191702114418,0.6257247924804688,99.6,7
jeu1,robinson,ensemble,False,2,0.02877091697882861,0.0832759999902919,0.6257247924804688,99.6,7
jeu1,robinson,ensemble,False,3,0.028115457971580327,0.08217429200885817,0.6257247924804688,99.7,7
jeu1,robinson,ensemble,False,4,0.02843862504232675,0.08199129096465185,0.6257247924804688,99.6,7
jeu1,robinson,ensemble,False,5,0.028266666980925947,0.08251241699326783,0.6257247924804688,99.7,7
jeu1,robinson,ensemble,False,6,0.029622458037920296,0.08483220799826086,0.6257247924804688,99.6,7
jeu1,robinson,ensemble,False,7,0.027884042006917298,0.082715124997776,0.6257247924804688,99.6,7
jeu1,robinson,ensemble,False,8,0.0280998750240542,0.08301737497095019,0.6257247924804688,99.7,7
jeu1,robinson,ensemble,False,9,0.028904250008054078,0.0833421660354361,0.6257247924804688,99.7,7
