Jeu,Algo,Structure,TouteUnif,Temps_Pretraitement_Moyen(s),Temps_Unification_Moyen(s),Temps_Total_Moyen(s),RAM_Pic_Moyen(Mo),CPU_Moyen(%)
jeu1,arbre,unique,True,0.131739,0.191799,0.323538,37.92,99.8
jeu1,arbre,unique,False,0.131493,0.256315,0.387809,37.52,99.9
jeu2,arbre,unique,True,0.597198,0.740127,1.337325,94.09,100.0
jeu2,arbre,unique,False,0.596656,0.780123,1.37678,90.45,100.0
jeu3,arbre,unique,True,15.337293,19.057716,34.395009,3302.64,96.1
jeu3,arbre,unique,False,15.016561,25.515688,40.532249,3268.93,96.8
jeu4,arbre,unique,True,0.374125,0.457971,0.832096,121.52,100.0
jeu4,arbre,unique,False,0.371897,0.727856,1.099753,121.29,100.0
jeu5,arbre,unique,True,3.357741,4.286098,7.643838,1034.11,99.6
jeu5,arbre,unique,False,3.816861,7.021755,10.838616,1031.46,99.9
jeu6,arbre,unique,True,17.539955,16.852639,34.392594,3726.35,94.7
jeu6,arbre,unique,False,17.042469,19.628669,36.671138,3710.69,96.2
jeu7,arbre,unique,True,0.3621,0.445292,0.807392,118.68,100.0
jeu7,arbre,unique,False,0.363419,0.638243,1.001662,118.37,100.0
jeu8,arbre,unique,True,3.858316,4.947323,8.805639,1240.78,99.9
jeu8,arbre,unique,False,3.841437,7.21163,11.053066,1239.01,100.0
jeu9,arbre,unique,True,46.276209,64.427828,110.704036,10211.43,85.3
jeu9,arbre,unique,False,45.33193,94.993547,140.325476,10186.97,85.0
jeu10,arbre,unique,True,0.462393,0.702244,1.164637,140.87,100.0
jeu10,arbre,unique,False,0.461118,1.078461,1.539579,140.57,100.0
jeu11,arbre,unique,True,3.679674,5.396014,9.075688,1093.85,100.0
jeu11,arbre,unique,False,3.698052,8.1357,11.833752,1091.34,100.0
jeu12,arbre,unique,True,43.555111,64.494251,108.049362,9612.87,86.7
jeu12,arbre,unique,False,42.16207,92.395314,134.557384,9588.59,88.0
jeu13,arbre,unique,True,0.161348,0.243267,0.404615,48.06,100.0
jeu13,arbre,unique,False,0.158979,0.365488,0.524467,47.88,100.0
jeu14,arbre,unique,True,1.874211,2.595832,4.470043,555.99,99.0
jeu14,arbre,unique,False,1.820649,3.818279,5.638927,554.17,100.0
jeu15,arbre,unique,True,11.204177,14.951804,26.155981,2695.11,99.9
jeu15,arbre,unique,False,11.441737,21.062679,32.504415,2678.32,100.0
jeu16,arbre,unique,True,0.348329,0.46182,0.81015,109.72,100.0
jeu16,arbre,unique,False,0.347784,0.681802,1.029586,109.56,100.0
jeu17,arbre,unique,True,2.52558,3.444833,5.970414,762.88,100.0
jeu17,arbre,unique,False,2.514822,4.897024,7.411846,761.44,100.0
jeu18,arbre,unique,True,27.522986,39.596251,67.119237,6864.33,91.0
jeu18,arbre,unique,False,26.961717,52.189051,79.150768,6853.04,92.9
jeu19,arbre,unique,True,0.489807,0.590727,1.080534,153.37,100.0
jeu19,arbre,unique,False,0.488367,0.845894,1.334261,153.24,100.0
jeu20,arbre,unique,True,4.693332,5.437409,10.130741,1470.59,100.0
jeu20,arbre,unique,False,4.596971,7.617528,12.2145,1469.24,100.0
jeu21,arbre,unique,True,90.214276,262.516378,352.730653,16481.3,38.8
jeu21,arbre,unique,False,82.779344,267.700161,350.479504,16468.5,47.9
jeu22,arbre,unique,True,0.619236,0.768918,1.388155,196.32,100.0
jeu22,arbre,unique,False,0.616734,1.162016,1.778751,196.22,100.0
jeu23,arbre,unique,True,3.77612,4.571456,8.347576,1092.64,100.0
jeu23,arbre,unique,False,3.758074,6.316763,10.074837,1091.27,100.0
jeu24,arbre,unique,True,100.127037,308.24366,408.370697,18033.42,25.6
jeu24,arbre,unique,False,100.361041,330.698021,431.059062,18020.76,27.6
